handle,hour,count
Boqueroni@mastodon.social,0,0
Boqueroni@mastodon.social,1,0
Boqueroni@mastodon.social,2,0
Boqueroni@mastodon.social,3,0
Boqueroni@mastodon.social,4,0
Boqueroni@mastodon.social,5,0
Boqueroni@mastodon.social,6,36
Boqueroni@mastodon.social,7,47
Boqueroni@mastodon.social,8,16
Boqueroni@mastodon.social,9,11
Boqueroni@mastodon.social,10,16
Boqueroni@mastodon.social,11,6
Boqueroni@mastodon.social,12,8
Boqueroni@mastodon.social,13,19
Boqueroni@mastodon.social,14,21
Boqueroni@mastodon.social,15,23
Boqueroni@mastodon.social,16,8
Boqueroni@mastodon.social,17,11
Boqueroni@mastodon.social,18,6
Boqueroni@mastodon.social,19,20
Boqueroni@mastodon.social,20,13
Boqueroni@mastodon.social,21,2
Boqueroni@mastodon.social,22,0
Boqueroni@mastodon.social,23,0
DS90210@mastodon.social,0,7
DS90210@mastodon.social,1,0
DS90210@mastodon.social,2,0
DS90210@mastodon.social,3,7
DS90210@mastodon.social,4,0
DS90210@mastodon.social,5,0
DS90210@mastodon.social,6,7
DS90210@mastodon.social,7,0
DS90210@mastodon.social,8,0
DS90210@mastodon.social,9,7
DS90210@mastodon.social,10,0
DS90210@mastodon.social,11,0
DS90210@mastodon.social,12,6
DS90210@mastodon.social,13,0
DS90210@mastodon.social,14,0
DS90210@mastodon.social,15,7
DS90210@mastodon.social,16,0
DS90210@mastodon.social,17,0
DS90210@mastodon.social,18,7
DS90210@mastodon.social,19,0
DS90210@mastodon.social,20,0
DS90210@mastodon.social,21,7
DS90210@mastodon.social,22,0
DS90210@mastodon.social,23,0
EuromaidanPress@mastodon.social,0,3
EuromaidanPress@mastodon.social,1,3
EuromaidanPress@mastodon.social,2,2
EuromaidanPress@mastodon.social,3,7
EuromaidanPress@mastodon.social,4,7
EuromaidanPress@mastodon.social,5,0
EuromaidanPress@mastodon.social,6,4
EuromaidanPress@mastodon.social,7,11
EuromaidanPress@mastodon.social,8,11
EuromaidanPress@mastodon.social,9,10
EuromaidanPress@mastodon.social,10,10
EuromaidanPress@mastodon.social,11,11
EuromaidanPress@mastodon.social,12,10
EuromaidanPress@mastodon.social,13,11
EuromaidanPress@mastodon.social,14,10
EuromaidanPress@mastodon.social,15,17
